wsrid,city,statename
KABR,ABERDEEN, SD
KBIS,BISMARCK, ND
KFTG,FRONT RANGE AP, CO
KDMX,JOHNSTON, IA
KDTX,WHITE LAKE, MI
KDDC,DODGE CITY, KS
KDLH,DULUTH, MN
KCYS,CHEYENNE, WY
KLOT,ROMEOVILLE, IL
KGLD,GOODLAND, KS
KUEX,BLUE HILL, NE
KGJX,GRAND JUNCTION, CO
KGRR,GRAND RAPIDS, MI
KMVX,GRAND FORKS, ND
KGRB,GREEN BAY, WI
KIND,INDIANAPOLIS, IN
KJKL,JACKSON, KY
KARX,LA CROSSE, WI
KILX,LINCOLN, IL
KLVX,FORT KNOX, KY
KMQT,NEGAUNEE, MI
KMKX,DOUSMAN, WI
KMPX,CHANHASSEN, MN
KAPX,GAYLORD, MI
KLNX,NORTH PLATTE, NE
KIWX,NORTH WEBSTER, IN
KOAX,VALLEY, NE
KPAH,PADUCAH, KY
KEAX,PLEASANT HILL, MO
KPUX,PUEBLO, CO
KDVN,DAVENPORT, IA
KUDX,NEW UNDERWOOD, SD
KRIW,RIVERTON, WY
KSGF,SPRINGFIELD, MO
KLSX,WELDON SPRING, MO
KFSD,SIOUX FALLS, SD
KTWX,TOPEKA, KS
KICT,WICHITA, KS
KVWX,OWENSVILLE, IN
KLTX,SHALLOTTE, NC
KCCX,STATE COLLEGE, PA
KLWX,STERLING, VA
KFCX,ROANOKE, VA
KRAX,CLAYTON, NC
KGYX,GRAY, ME
KDIX,FORT DIX, NJ
KPBZ,CORAOPOLIS, PA
KAKQ,WAKEFIELD, VA
KMHX,NEWPORT, NC
KGSP,GREER, SC
KILN,WILMINGTON, OH
KCLE,CLEVELAND, OH
KCAE,WEST COLUMBIA, SC
KBGM,BINGHAMTON, NY
KENX,EAST BERNE, NY
KBUF,BUFFALO, NY
KCXX,COLCHESTER, VT
KCBW,HOULTON, ME
KBOX,TAUNTON, MA
KOKX,UPTON, NY
KCLX,GRAYS, SC
KRLX,CHARLESTON, WV
